host,id,threads,url,server_type,call_mode,regs,tsmin,tsmas,millis,ns_avg,ns_p90,ns_p95,ns_p99,stdev
edge02,ms-test-20240403_153007-0,threads_16,localhost-8080,tomcat_spring3_6_1_5,full,1000000,1712151008583,1712151029396,20813,302469,401703,492760,937351,250683
edge02,ms-test-20240403_153051-0,threads_16,localhost-8080,tomcat_spring3_6_1_5,local,1000000,1712151053069,1712151059726,6657,87401,97339,119003,339503,208832
edge02,ms-test-20240403_191305-0,threads_1,manager01-8070,spring3_6_1_5,full,1000000,1712164386454,1712164644245,257791,242742,271545,289149,430867,81514.6
edge02,ms-test-20240403_191746-0,threads_1,manager01-8070,spring3_6_1_5,local,1000000,1712164667649,1712164731839,64190,58687.7,72385,87892,125866,49678.6
edge02,ms-test-20240403_191913-0,threads_1,manager01-8071,jersey3,full,1000000,1712164754528,1712165016630,262102,247165,278664,297560,357765,71352.1
edge02,ms-test-20240403_192358-0,threads_1,manager01-8071,jersey3,local,1000000,1712165040012,1712165117769,77757,71017.3,92031,108839,145552,45328
edge02,ms-test-20240403_192539-0,threads_1,manager01-8072,flask2_0_3,full,1000000,1712165140970,1712166130436,989466,975422,1019766,1066351,1238669,218784
edge02,ms-test-20240403_194232-0,threads_1,manager01-8072,flask2_0_3,local,1000000,1712166153320,1712166223288,69968,63862.7,70510,83812,126970,38361.9
edge02,ms-test-20240403_194405-0,threads_1,manager01-8080,tomcat_jersey_3_1_0,full,1000000,1712166246509,1712166555114,308605,293519,319652,337306,488757,104566
edge02,ms-test-20240403_194937-0,threads_1,manager01-8080,tomcat_jersey_3_1_0,local,1000000,1712166578695,1712166648491,69796,63830.9,78004,91648,127693,40819.9
edge02,ms-test-20240403_195110-0,threads_1,manager01-8080,tomcat_spring3_6_1_5,full,1000000,1712166671845,1712166956371,284526,269780,294598,312356,454649,101245
edge02,ms-test-20240403_195618-0,threads_1,manager01-8080,tomcat_spring3_6_1_5,local,1000000,1712166979913,1712167047788,67875,62039.3,82463,99293,132923,53325.3
edge02,ms-test-20240403_195749-0,threads_2,manager01-8070,spring3_6_1_5,full,1000000,1712167071352,1712167205485,134133,242052,268613,284884,423435,94217.8
edge02,ms-test-20240403_200028-0,threads_2,manager01-8070,spring3_6_1_5,local,1000000,1712167229521,1712167269164,39643,65976.8,84606,98915,133825,58469.1
edge02,ms-test-20240403_200131-0,threads_2,manager01-8071,jersey3,full,1000000,1712167292681,1712167428264,135583,241796,271594,287324,346812,92151
edge02,ms-test-20240403_200410-0,threads_2,manager01-8071,jersey3,local,1000000,1712167451980,1712167487836,35856,65193.7,85463,100872,139216,57737.3
edge02,ms-test-20240403_200509-0,threads_2,manager01-8072,flask2_0_3,full,1000000,1712167511142,1712168406945,895803,1.72197e+06,1865870,1951230,2440041,300183
edge02,ms-test-20240403_202029-0,threads_2,manager01-8072,flask2_0_3,local,1000000,1712168430552,1712168468959,38407,64887.7,86332,105563,144290,62768
edge02,ms-test-20240403_202131-0,threads_2,manager01-8080,tomcat_jersey_3_1_0,full,1000000,1712168493235,1712168662436,169201,306866,339140,362932,515754,136554
edge02,ms-test-20240403_202444-0,threads_2,manager01-8080,tomcat_jersey_3_1_0,local,1000000,1712168686093,1712168722974,36881,61082.1,74256,85366,119842,51622.2
edge02,ms-test-20240403_202545-0,threads_2,manager01-8080,tomcat_spring3_6_1_5,full,1000000,1712168746730,1712168905930,159200,286968,320586,340375,487968,132984
edge02,ms-test-20240403_202847-0,threads_2,manager01-8080,tomcat_spring3_6_1_5,local,1000000,1712168928767,1712168960185,31418,55999.2,65608,75617,108275,54063.1
edge02,ms-test-20240403_202942-0,threads_4,manager01-8070,spring3_6_1_5,full,1000000,1712168984365,1712169061436,77071,272617,311725,331975,502974,156060
edge02,ms-test-20240403_203123-0,threads_4,manager01-8070,spring3_6_1_5,local,1000000,1712169084538,1712169106036,21498,72988,94697,110217,146121,94924.8
edge02,ms-test-20240403_203208-0,threads_4,manager01-8071,jersey3,full,1000000,1712169129586,1712169205803,76217,270239,307848,326228,420249,151437
edge02,ms-test-20240403_203347-0,threads_4,manager01-8071,jersey3,local,1000000,1712169228581,1712169248250,19669,64028.7,84426,100635,141615,90310
edge02,ms-test-20240403_203430-0,threads_4,manager01-8072,flask2_0_3,full,1000000,1712169271746,1712170126571,854825,3.13714e+06,4304931,4408493,4800696,965270
edge02,ms-test-20240403_204908-0,threads_4,manager01-8072,flask2_0_3,local,1000000,1712170150020,1712170169973,19953,69543.2,84512,98870,135401,88579.1
edge02,ms-test-20240403_204951-0,threads_4,manager01-8080,tomcat_jersey_3_1_0,full,1000000,1712170193050,1712170278926,85876,307965,344676,378485,518146,176667
edge02,ms-test-20240403_205141-0,threads_4,manager01-8080,tomcat_jersey_3_1_0,local,1000000,1712170302206,1712170322210,20004,63093.2,80369,93954,137435,90227.4
edge02,ms-test-20240403_205224-0,threads_4,manager01-8080,tomcat_spring3_6_1_5,full,1000000,1712170345387,1712170425759,80372,287664,321969,344579,499190,172376
edge02,ms-test-20240403_205408-0,threads_4,manager01-8080,tomcat_spring3_6_1_5,local,1000000,1712170449841,1712170469471,19630,66760.3,85681,100899,140898,90069.5
edge02,ms-test-20240403_205451-0,threads_8,manager01-8070,spring3_6_1_5,full,1000000,1712170493310,1712170531649,38339,267100,300628,318568,487261,215953
edge02,ms-test-20240403_205554-0,threads_8,manager01-8070,spring3_6_1_5,local,1000000,1712170555600,1712170566869,11269,74669.9,89074,101265,156740,123304
edge02,ms-test-20240403_205629-0,threads_8,manager01-8071,jersey3,full,1000000,1712170590620,1712170629709,39089,273897,311116,330178,423880,211605
edge02,ms-test-20240403_205731-0,threads_8,manager01-8071,jersey3,local,1000000,1712170652883,1712170664366,11483,73708.3,88136,97013,139164,118923
edge02,ms-test-20240403_205807-0,threads_8,manager01-8072,flask2_0_3,full,1000000,1712170688267,1712171521903,833636,6.23827e+06,7907486,8169259,8717677,1.6412e+06
edge02,ms-test-20240403_211224-0,threads_8,manager01-8072,flask2_0_3,local,1000000,1712171545826,1712171557330,11504,74923.2,86510,95211,137573,130222
edge02,ms-test-20240403_211259-0,threads_8,manager01-8080,tomcat_jersey_3_1_0,full,1000000,1712171581116,1712171625511,44395,313705,352843,377377,545017,246544
edge02,ms-test-20240403_211408-0,threads_8,manager01-8080,tomcat_jersey_3_1_0,local,1000000,1712171649332,1712171660660,11328,74208.9,87914,96230,141628,126232
edge02,ms-test-20240403_211443-0,threads_8,manager01-8080,tomcat_spring3_6_1_5,full,1000000,1712171684874,1712171728145,43271,306371,342954,368848,532652,234234
edge02,ms-test-20240403_211550-0,threads_8,manager01-8080,tomcat_spring3_6_1_5,local,1000000,1712171752068,1712171763544,11476,76585,88309,97307,138648,137832
edge02,ms-test-20240403_211626-0,threads_16,manager01-8070,spring3_6_1_5,full,1000000,1712171787398,1712171806517,19119,272386,323857,367061,522792,256743
edge02,ms-test-20240403_211708-0,threads_16,manager01-8070,spring3_6_1_5,local,1000000,1712171830211,1712171837395,7184,92228.9,97505,115911,378317,216649
