MCC+MNC;IMSI_OPERADOR;IMSI_PAIS;ZONA_ROAMING
54601;Mobilis;Nueva Caledonia;zona_roaming_3
54715;Pacific Mobile;Francia;zona_roaming_3
54720;Vini;Francia;zona_roaming_3
54801;Telecom Cook Island;Cook Island;zona_roaming_3
54927;Samoatel;Samoa;zona_roaming_3
60201;Mobinil(ECMS);Egipto;zona_roaming_3
60202;Vodafone;Egipto;zona_roaming_3
60203;ETISALAT;Egipto;zona_roaming_3
60301;ATM;Argelia;zona_roaming_2
60302;Djezzy;Argelia;zona_roaming_2
60303;Wataniya Telecom;Argelia;zona_roaming_2
60400;Medi Telecom;Marruecos;zona_roaming_2
60401;IAM (Itissalat);Marruecos;zona_roaming_2
60402;Wana;Marruecos;zona_roaming_2
60501;Orange;Tunez;zona_roaming_2
60502;Tunisie Telecom ;Tunez;zona_roaming_2
60503;Orascom;Tunez;zona_roaming_2
60506;Tunisie Telecom ;Tunez;zona_roaming_2
60601;Al Madar;Libia;zona_roaming_3
60701;Gamcel;Gambia;zona_roaming_3
60702;Africell;Gambia;zona_roaming_3
60703;Comium;Gambia;zona_roaming_3
60801;Orange;Senegal;zona_roaming_3
60802;Sentel;Senegal;zona_roaming_3
60901;MATTEL;Mauritania;zona_roaming_3
60910;Mauritel;Mauritania;zona_roaming_3
61002;Orange;Mali;zona_roaming_3
61101;Orange;Guinea;zona_roaming_3
61103;Intercel;Guinea;zona_roaming_3
61202;Moov /telecel;Costa de Marfil;zona_roaming_3
61203;Orange;Costa de Marfil;zona_roaming_3
61205;MTN;Costa de Marfil;zona_roaming_3
61301;Onatel (Telmob);Burkina Faso;zona_roaming_3
61403;Telecel;Niger;zona_roaming_3
61404;Orange;Niger;zona_roaming_3
61503;Moov /telecel;Togo;zona_roaming_3
61601;Libercom;Benin;zona_roaming_3
61602;Etisalat;Benin;zona_roaming_3
61701;Cellplus (Orange);Isla Mauricio;zona_roaming_3
61703;MTML;Isla Mauricio;zona_roaming_3
61710;Emtel;Isla Mauricio;zona_roaming_3
61801;LONESTAR;LIBERIA;zona_roaming_3
61807;Celcom (AT&T);Liberia;zona_roaming_3
61904;Comium;Sierra Leona;zona_roaming_3
62002;One Touch;Ghana;zona_roaming_3
62006;Airtel;Ghana;zona_roaming_3
62120;Econet;Nigeria;zona_roaming_3
62130;MTN;Nigeria;zona_roaming_3
62160;Etisalat;Nigeria;zona_roaming_3
62203;MIC;Chad;zona_roaming_3
62303;Orange;Centroafricana Rep.;zona_roaming_3
62402;Orange;Camerun;zona_roaming_3
62501;CVMOVEL;Cabo Verde;zona_roaming_3
62502;T Cap Verd;Cabo Verde;zona_roaming_3
62601;CST;Sao Tome and Principe;zona_roaming_3
62701;Orange;Guinea Ecuatorial;zona_roaming_3
62802;Telecel;Gabon;zona_roaming_3
62803;Celtel;Gabon;zona_roaming_3
62910;MTN;Congo;zona_roaming_3
63001;Vodacom;Congo Rep. Dem.;zona_roaming_3
63002;Celtel;Congo Rep. Dem.;zona_roaming_3
63086;Orange;Congo Rep. Dem.;zona_roaming_3
63089;Orange;Congo Rep. Dem.;zona_roaming_3
63102;Unitel;Angola;zona_roaming_3
63104;Movicell;Angola;zona_roaming_3
63202;MTN;Guinea Bissau;zona_roaming_3
63203;Orange;Guinea Bissau;zona_roaming_3
63301;C&W;Seychelles;zona_roaming_3
63310;Airtel;Seychelles;zona_roaming_3
63402;Aareba / MTN;Sudan;zona_roaming_3
63510;MTN;Ruanda;zona_roaming_3
63512;Rwandatel;Ruanda;zona_roaming_3
63513;Tigo;Ruanda;zona_roaming_3
63601;ETC;Etiopia;zona_roaming_3
63902;Safaricom;Kenia;zona_roaming_3
63903;KenCell;Kenia;zona_roaming_3
63905;Essar Telecom;Kenia;zona_roaming_3
63907;Orange;Kenia;zona_roaming_3
64003;Zantel;Tanzania;zona_roaming_3
64004;Vodacom;Tanzania;zona_roaming_3
64005;Celtel Zain;Tanzania;zona_roaming_3
64111;Uganda Telecom Limited (UTL);Uganda;zona_roaming_3
64114;Orange;Uganda;zona_roaming_3
64122;Warid Telecom;Uganda;zona_roaming_3
